CustId,Date,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
2277,2/17/2024,2,2,4,1,4,5,4,1,3
2278,3/13/2024,2,5,5,1,5,2,3,4,1
2279,2/14/2024,2,4,4,2,2,5,5,3,5
2280,3/4/2024,4,5,2,3,1,5,4,1,3
2281,1/4/2024,4,2,1,2,2,2,5,5,3
2282,1/5/2024,1,4,3,3,4,2,4,2,1
2283,2/3/2024,3,5,2,4,2,2,5,4,4
2284,2/3/2024,3,4,5,5,1,3,5,3,4
2285,2/15/2024,3,2,3,2,1,2,5,1,2
2286,2/14/2024,1,3,2,4,3,1,5,4,3
2287,2/4/2024,4,3,4,3,5,1,2,1,1
2288,1/4/2024,1,3,4,3,5,1,1,4,3
2289,2/5/2024,4,5,3,1,4,3,3,3,2
2290,1/3/2024,3,1,5,1,3,2,5,4,2
2291,3/5/2024,1,1,2,4,2,2,3,2,2
2292,1/15/2024,2,5,3,4,5,2,3,1,4
2293,2/27/2024,1,5,4,2,1,3,2,5,1
2294,1/11/2024,3,5,3,3,5,5,4,4,5
2295,2/14/2024,3,4,1,3,3,5,3,3,3
2296,1/20/2024,3,4,5,2,2,2,1,3,2
2297,2/11/2024,5,3,1,4,4,4,4,1,5
2298,1/30/2024,1,1,4,2,3,1,1,1,1
2299,3/9/2024,3,2,3,4,4,2,5,4,1
2300,2/20/2024,1,3,3,2,5,5,4,3,4
2301,1/12/2024,3,5,1,4,2,1,1,1,3
2302,3/9/2024,3,5,2,2,2,2,3,1,3
2303,3/9/2024,5,4,3,4,1,4,4,3,1
2304,1/11/2024,4,1,3,4,5,2,5,5,4
2305,3/15/2024,3,1,5,4,4,3,1,1,1
2306,2/12/2024,1,2,4,5,3,1,5,2,2
2307,3/4/2024,3,2,5,4,2,2,5,3,5
2308,2/10/2024,5,2,2,1,2,1,4,5,2
2309,3/7/2024,5,4,3,1,3,2,4,2,4
2310,1/19/2024,5,2,5,1,5,4,3,5,3
2311,1/27/2024,1,3,4,2,2,2,3,2,3
2312,1/3/2024,5,1,4,5,2,5,5,3,3
2313,3/14/2024,2,1,2,3,1,4,1,2,4
2314,2/6/2024,5,3,1,3,2,4,5,5,1
2315,1/1/2024,1,2,1,5,5,3,4,1,2
2316,1/26/2024,4,4,2,3,3,5,3,2,2
2317,2/17/2024,2,3,3,3,1,3,2,5,5
2318,3/14/2024,3,5,5,2,1,4,1,2,4
2319,1/4/2024,2,2,3,2,2,5,2,2,3
2320,3/7/2024,4,4,3,5,4,3,2,3,4
2321,2/26/2024,2,4,5,2,2,1,2,5,4
2322,2/17/2024,2,3,4,5,1,3,3,1,3
2323,3/8/2024,3,5,5,3,3,4,1,1,2
2324,1/5/2024,3,3,3,4,1,3,1,2,4
2325,2/17/2024,2,5,4,3,3,4,1,1,2
2326,3/16/2024,2,4,4,1,4,3,2,4,5
2327,3/11/2024,1,4,5,1,5,1,2,3,5
2328,1/2/2024,3,2,3,3,4,3,2,1,3
2329,2/22/2024,3,4,5,3,4,4,4,4,1
2330,3/2/2024,2,5,5,2,1,2,5,2,2
2331,3/11/2024,4,4,2,5,4,5,2,2,3
2332,2/6/2024,3,4,1,1,4,5,4,3,1
2333,2/28/2024,4,2,3,3,4,1,4,5,2
2334,1/14/2024,4,2,3,4,3,4,3,1,2
2335,1/31/2024,2,4,2,5,2,4,1,2,1
2336,2/13/2024,3,1,2,1,2,4,4,5,5
2337,2/17/2024,1,5,2,4,3,4,4,4,4
2338,1/18/2024,3,3,2,3,2,5,3,3,3
2339,1/12/2024,1,4,1,1,2,1,4,4,3
2340,2/10/2024,4,2,1,5,1,3,4,4,5
2341,1/15/2024,5,5,3,3,2,2,5,3,3
2342,2/3/2024,4,2,1,2,5,2,4,2,2
2343,1/7/2024,2,3,4,2,4,3,4,1,1
2344,1/8/2024,2,3,2,5,5,3,2,1,2
2345,1/20/2024,5,2,2,5,1,3,4,4,4
2346,3/2/2024,2,5,2,4,2,5,3,5,2
2347,3/15/2024,2,5,5,5,3,4,3,1,4
2348,2/24/2024,2,1,3,1,2,3,2,5,1
2349,2/18/2024,3,1,4,2,5,2,2,2,2
